Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
energy-pack-maraton-42k,Energy Pack Maratón 42K,"<p>Disfruta tu carrera de principio a fin con la mejor energía. Este Energy Pack <strong>Maratón 42K</strong> ha sido diseñado por los especialistas en nutrición deportiva de Actimax para correr los 42K con la hidratación, energía y recuperación que necesitas.</p>
<p>El Energy Pack 42K incluye:</p>
<ul> <li>1 Sobre de Pre Race</li>
<li>4 Geles de 30 gr</li>
<li>2 Energy Gel</li>
<li>1 Sobre de Recovery Pro</li>
</ul>
<h3>Recomendaciones de uso</h3>
<p><strong>Antes</strong>:</p>
<p>• Pre Race: consume 1 sobre de Pre Race Actimax en tu desayuno. Disuelve todo el contenido del sobre en 250 ml (una taza) de tu bebida preferida (agua, leche, yogurt, avena, café, jugo, etc).</p>
<p><strong>Durante</strong>:</p>
<ul> <li><strong>Geles</strong>: planifica el consumo de un gel de fruta Actimax en los siguientes kilómetros: Km 7 – Km 14 – Km 28 – Km 35 y un Energy Gel Actimax en los siguientes kilómetros: Km 21 – Km 30 y km 39, para así garantizar la reposición de energía rápida y de larga duración a tus músculos y conseguir tu PR en la maratón. (Nota: después de consumir cada gel toma un sorbo grande de agua o la bebida hidratante de la carrera).</li>
<li><strong>Hidratación</strong>: antes de salir de tu casa prepara Bebida Elite Actimax en 500 ml de agua y ve consumiendo pequeños sorbos durante el recorrido hacia el lugar de salida de la carrera y hasta finalizar el calentamiento, esta estrategia te ayudará a la pre-hidratación de tus músculos y al aumento de reservas de glucógeno muscular previos al inicio de la carrera. Para la carrera, te recomendamos utilizar la hidratación dispuesta por la organización y consumir un sorbo de 100 ml en cada punto de hidratación durante todo el recorrido (utiliza la hidratación en todos los puntos disponibles y consume preferiblemente las bebidas que contengan carbohidratos y electrolitos, el agua también puedes arrojártela encima para bajar la temperatura corporal y que tu cuerpo sea más eficiente).</li>
</ul>
<p><strong>Después</strong></p>
<p>Consume 1 sobre de Recovery Pro Actimax + 1 Bebida Elite disueltos en 500 ml de agua, y consúmelo cuando estés realizando el estiramiento y de vuelta a la calma. Después de la 1era hora de haber terminado la maratón, prepara nuevamente Bebida Elite en 500 ml de agua y consúmela lentamente con pequeños sorbos, esta maniobra garantizará la recuperación rápida de tus músculos, la reposición de glucógeno y la rehidratación nuevamente de tu cuerpo.</p>
<p><strong>Recomendaciones para el uso de geles Actimax y Bebida Deportiva Élite Actimax durante una maratón:</strong></p>
<p><strong>Intensidad de la Carrera:</strong></p>
<p>Durante una maratón, la exigencia física es considerablemente mayor que en entrenos normales. Aunque tu ingesta diaria pueda ser suficiente para las sesiones de entrenamiento, durante la maratón, tus músculos y sistema nervioso central demandarán energía rápida y sostenida.</p>
<p>Tomar un gel Actimax cada 30 minutos contribuirá a mantener estables los niveles de glucosa en sangre, proporcionando energía de forma rápida y ayudando a retrasar la aparición de la fatiga.</p>
<p><strong>Prevención de Fatiga:</strong></p>
<p>La fatiga es un desafío común en carreras de larga distancia, especialmente con un esfuerzo continuo. Aportar carbohidratos de forma regular con los geles Actimax durante la carrera asegura una fuente constante de energía, disminuyendo el riesgo de agotamiento.</p>
<p><strong>Reposición de Sodio:</strong></p>
<p>Aunque las necesidades de sodio varían según cada persona, consumir 500 ml de Bebida Deportiva Élite Actimax por hora (tomando sorbos cada 10 minutos) te ayudará a mantener el equilibrio electrolítico, principalmente si corres en climas con altas temperaturas.</p>
<p>Mantener niveles adecuados de sodio es clave para prevenir la deshidratación y los calambres musculares, optimizando el rendimiento a lo largo de toda la maratón.</p>
<p><strong>Personalización:</strong></p>
<p>Las necesidades de carbohidratos y sodio pueden variar según tu metabolismo, esfuerzo, y condiciones climáticas. El Energy Packs Actimax 42K está diseñado para ofrecer una estrategia nutricional que asegure energía, hidratación y recuperación adecuada para corredores experimentados con un entrenamiento sólido y una dieta equilibrada.</p>
<p><strong>Nutrientes y función en nuestros productos:</strong></p>
<p>Carbohidratos especializados para aporte de energía: Los productos Actimax combinan carbohidratos de rápida y lenta absorción, asegurando una liberación constante y eficiente de energía durante la carrera para mantener el rendimiento y evitar la fatiga.</p>
<p>Proteínas y Electrolitos: Las barras de proteínas y bebidas de recuperación tienen proteínas de alta calidad para la reparación muscular y electrolitos que favorecen la hidratación, algo que los alimentos sólidos convencionales no proporcionan con la misma precisión.</p>
<p><strong>Hidratación y Recuperación:</strong></p>
<p>Hidratación y Recuperación: Las bebidas deportivas Actimax están diseñadas para reponer los electrolitos que se pierden con el sudor y mantener una adecuada hidratación durante el ejercicio, esencial para prevenir la deshidratación y mejorar la resistencia.</p>
<p>Recuperación Óptima: Los productos de recuperación de Actimax están formulados para acelerar la recuperación post-carrera, facilitando la reparación muscular y la reposición de glucógeno de manera más eficiente.</p>",Actimax,Energy Packs,"kits, running",TRUE,Title,Default Title,,shopify,100,deny,manual,70000,83000,TRUE,TRUE,https://actimax.com.co/wp-content/uploads/2025/08/Energy-Pack-42K.webp,1,Energy Pack Maratón 42K,Energy Pack Maratón 42K — Actimax,Disfruta tu carrera de principio a fin con la mejor energía. Este Energy Pack Maratón 42K ha sido diseñado por los especialistas en nutrición deportiva de Actim,active
energy-pack-maraton-42k,,,,,,,,,,,,,,,,,,https://actimax.com.co/wp-content/uploads/2022/03/Energy-Pack-42K-Geles-energeeticos-Actimax.jpg,2,Energy Pack Maratón 42K,,,
energy-pack-maraton-42k,,,,,,,,,,,,,,,,,,https://actimax.com.co/wp-content/uploads/2025/08/Infografia-de-42K-Recomendaciones-de-uso-para-el-portal-web.webp,3,Energy Pack Maratón 42K,,,
gel-energetico-actimax-caja-x8-con-cafeina,Gel Energético – Caja x 8 geles con Cafeína,"<p>EL GEL ENERGÉTICO – ACTIMAX Te garantiza una combinación de nutrientes superior para cubrir tus necesidades de energía e hidratación DURANTE el entrenamiento y/o competencia.</p>
<h3>Recomendaciones de uso</h3>
<p>Dias Horas Minutos Segundos</p>
<strong>Descripción detallada del gel energético Actimax:</strong> <p>Geles con mezclas de carbohidratos simples y complejos de rápida absorción y liberación sostenida que te garantizaran la obtención de energía rápida e hidratación por largos períodos de tiempo.</p>
<p>son ideales para usar en deportes de largo aliento y resistencia de más de 2 horas de duración como: Ciclismo de fondo, ciclo montañismo, 1⁄2 maratón, maratón, ultra maratón, Trail de montaña, Triatlón de 1⁄2 y larga distancia, natación de aguas abiertas, etc.</p>
<p>Su excelente sabor a fruta 100% natural, su empaque ergonómico de 90 gr y su sistema de tapa te garantizarán la dosis precisa de energía cada vez que los consumas.</p>
<p>Usarlo es muy fácil, solo giras la tapa, consumes una porción (el gel contiene 3 porciones), tomas un sorbo de agua, y nuevamente lo tapas. Con su novedoso empaque no tendrás que volverte a preocupar porque se derrame y arruine tu ropa deportiva.</p>
<strong>Sabores del gel:</strong> <p>Fresa, manzana, mango</p>
<strong>Información nutricional del gel energético Actimax:</strong> <ul> <li>Carbohidratos (Glucosa + Fructosa): Manzana 30 gr / Fresa 28 gr / Mango 28 gr.</li>
<li>Sodio : Manzana 117 mg / Fresa 117 mg / Mango 121 mg.</li>
<li>Vitamina C: 103 mg.</li>
<li>Cafeina: 28,8 mg.</li>
<li>Inositol: 11,7 mg</li>
<li>Sin colorantes artificiales.</li>
<li>Vegan friendly.</li>
<li>Dairy free.</li>
<li>Gluten free.</li>
</ul>
Preguntas Frecuentes <p>¿En cuánto tiempo tengo el efecto energético del gel Actimax?</p>
<p>¡De inmediato! Los geles Actimax contienen glucosa que es energía inmediata y fructosa que es energía de larga duración, ósea que sentirás el efecto inmediato y por un largo periodo de tiempo.</p>
<p>Te recomendamos consumir 1 gel y ½ litro de bebida deportiva Actimax por cada hora de entrenamiento.</p>
<p>¿Los geles energéticos tiene azúcar?</p>
<p>Los Geles de Actimax tienen carbohidratos en forma de fructosa y glucosa que son la mejor fuente de energía rápida y de larga duración para aportar combustible a tus músculos por largos periodos de tiempo durante el entrenamiento y las carreras.</p>
<p>¿Cuándo debo tomar un gel energético?</p>
<p>Durante la actividad deportiva el cuerpo y tus músculos van consumiendo tus reservas de combustible y a mayor intensidad del ejercicio el gasto de combustible es mayor, por eso te recomendamos consumir un gel cada 30 minutos si estás compitiendo o estás realizando un entrenamiento de intensidad alta y un gel cada 45 a 60 minutos si estás entrenando.</p>
<p>¿Tengo que comer todo el gel energético a la vez?</p>
<p>Para geles de 90 gr (3 porciones) lo ideal es destapar el gel Actimax y consumir una porcion (dividirlo en 3 tomas), mantenerlo en la boca y consumirlo despacio, saboreándolo despacio hasta ingerirlo completamente y luego un buen sorbo de agua para obtener sus máximos beneficios de entrega de energía inmediata</p>
<p>¿Los niños pueden consumir los geles Actimax?</p>
<p>Los deportistas de cualquier edad y sexo que realicen una actividad física que requiera energía inmediata y de larga duración pueden usar los geles Actimax con seguridad.</p>
<p>Solo recomendamos no utilizar las referencias con cafeína en menores de 14 años, mujeres en embarazo y personas sensibles a la cafeína. Recuerda que tenemos referencias con cafeína y sin cafeína.</p>
<p>¿Soy vegano, puedo consumir los geles energéticos Actimax?</p>
<p>Todos nuestros geles Actimax a excepción de la referencia de fresa – cafeína son aptos para veganos, son libres de gluten y libres de lácteos.</p>
<p>¿Puedo consumir el gel Actimax con las bebidas deportivas Actimax?</p>
<p>Para entrenamientos de más de 90 min es ideal utilizar los geles y las bebidas en combinación para que tus músculos obtengan la cantidad adecuada de combustible, electrolitos y líquidos que necesitas para esos esfuerzos prolongados y conseguir un mejor rendimiento.</p>
<p>Te recomendamos consumir 1 gel y ½ litro de bebida deportiva Actimax por cada hora de entrenamiento.</p>",Actimax,Geles energéticos,"geles, durante, ciclismo, gym, natacion, running, triatlon",TRUE,Title,Default Title,,shopify,100,deny,manual,110000,,TRUE,TRUE,https://actimax.com.co/wp-content/uploads/2021/12/gel-energetico-actimax-con-cafeina-90.png,1,Gel Energético – Caja x 8 geles con Cafeína,Gel Energético – Caja x 8 geles con Cafeína — Actimax,EL GEL ENERGÉTICO – ACTIMAX Te garantiza una combinación de nutrientes superior para cubrir tus necesidades de energía e hidratación DURANTE el entrenamiento y/,active
gel-energetico-actimax-caja-x8-con-cafeina,,,,,,,,,,,,,,,,,,https://actimax.com.co/wp-content/uploads/2021/12/1-gel_energetico_con_cafeina_90gr_2.jpg,2,Gel Energético – Caja x 8 geles con Cafeína,,,
gel-energetico-actimax-caja-x8-con-cafeina,,,,,,,,,,,,,,,,,,https://actimax.com.co/wp-content/uploads/2021/12/3-gel_energetico_con_cafeina_90gr_4.jpg,3,Gel Energético – Caja x 8 geles con Cafeína,,,
gel-energetico-actimax-caja-x8-con-cafeina,,,,,,,,,,,,,,,,,,https://actimax.com.co/wp-content/uploads/2021/12/2-gel_energetico_con_cafeina_90gr_3.jpg,4,Gel Energético – Caja x 8 geles con Cafeína,,,
gel-energetico-actimax-caja-x8-con-cafeina,,,,,,,,,,,,,,,,,,https://actimax.com.co/wp-content/uploads/2021/12/gel-energetico-90-g-mango-cafeina-tabla-nutricional.jpg,5,Gel Energético – Caja x 8 geles con Cafeína,,,
gel-energetico-actimax-caja-x8-con-cafeina,,,,,,,,,,,,,,,,,,https://actimax.com.co/wp-content/uploads/2021/12/gel-energetico-90-g-manzana-verde-cafeina-tabla-nutricional.jpg,6,Gel Energético – Caja x 8 geles con Cafeína,,,
gel-energetico-actimax-caja-x8-con-cafeina,,,,,,,,,,,,,,,,,,https://actimax.com.co/wp-content/uploads/2021/12/gel-energetico-90-g-fresa-cafeina-tabla-nutricional.jpg,7,Gel Energético – Caja x 8 geles con Cafeína,,,
gel-energetico-sachets-x24-sin-cafeina,Gel Energético – Caja x 24 sachets sin Cafeína,"<p>El Gel Energético – Actimax te garantiza una combinación de nutrientes superior para cubrir tus necesidades de energía e hidratación durante el entrenamiento y/o competencia.</p>
<h3>Recomendaciones de uso</h3>
<p>Dias Horas Minutos Segundos</p>
Descripción detallada del gel energético Actimax: <p>Geles con mezclas de carbohidratos simples y complejos de rápida absorción y liberación sostenida que te garantizaran la obtención de energía rápida e hidratación por largos períodos de tiempo.</p>
<p>Son ideales para usar en deportes de largo aliento y resistencia de más de 2 horas de duración como: Ciclismo de fondo, ciclo montañismo, 1⁄2 maratón, maratón, ultra maratón, Trail de montaña, Triatlón de 1⁄2 y larga distancia, natación de aguas abiertas, etc.</p>
<p>Su excelente sabor a fruta 100% natural, su empaque ergonómico de 30 gr te garantizarán la dosis precisa de energía cada vez que los consumas.</p>
<p>Usarlo es muy fácil, solo rompes el sachet por la guía de corte, consumes la totalidad del gel y tomas un sorbo de agua.</p>
Sabor del gel: <p>Fresa banano.</p>
Información nutricional del gel energético Actimax: <ul> <li>Carbohidratos (Glucosa + Fructosa): fresa banano 9,6 gr.</li>
<li>Sodio : 39 mg</li>
<li>Vitamina C: 34 mg.</li>
<li>Inositol: 4,6 mg.</li>
<li>Sin colorantes artificiales.</li>
<li>Vegan friendly.</li>
<li>Dairy free.</li>
<li>Gluten free.</li>
</ul>
Preguntas Frecuentes <p>¿En cuánto tiempo tengo el efecto energético del gel Actimax?</p>
<p>¡De inmediato! Los geles Actimax contienen glucosa que es energía inmediata y fructosa que es energía de larga duración, ósea que sentirás el efecto inmediato y por un largo periodo de tiempo.</p>
<p>¿Los geles energéticos tiene azúcar?</p>
<p>Los Geles de Actimax tienen carbohidratos en forma de fructosa y glucosa que son la mejor fuente de energía rápida y de larga duración para aportar combustible a tus músculos por largos periodos de tiempo durante el entrenamiento y las carreras.</p>
<p>¿Cuándo debo tomar un gel energético?</p>
<p>Durante la actividad deportiva el cuerpo y tus músculos van consumiendo tus reservas de combustible y a mayor intensidad del ejercicio el gasto de combustible es mayor, por eso te recomendamos consumir un gel cada 30 minutos si estás compitiendo o estás realizando un entrenamiento de intensidad alta y un gel cada 45 a 60 minutos si estás entrenando.</p>
<p>¿Tengo que comer todo el gel energético a la vez?</p>
<p>Para geles de 30 gr lo ideal es destapar el gel Actimax y consumir todo su contenido, mantenerlo en la boca y consumirlo despacio, saboreándolo despacio hasta ingerirlo completamente y luego un buen sorbo de agua para obtener sus máximos beneficios de entrega de energía inmediata.</p>
<p>¿Los niños pueden consumir los geles Actimax?</p>
<p>Los deportistas de cualquier edad y sexo que realicen una actividad física que requiera energía inmediata y de larga duración pueden usar los geles Actimax con seguridad.</p>
<p>Solo recomendamos no utilizar las referencias con cafeína en menores de 14 años, mujeres en embarazo y personas sensibles a la cafeína. Recuerda que tenemos referencias con cafeína y sin cafeína.</p>
<p>¿Soy vegano, puedo consumir los geles energéticos Actimax?</p>
<p>Todos nuestros geles Actimax a excepción de la referencia de fresa – cafeína son aptos para veganos, son libres de gluten y libres de lácteos.</p>
<p>¿Puedo consumir el gel Actimax con las bebidas deportivas Actimax?</p>
<p>Para entrenamientos de más de 90 min es ideal utilizar los geles y las bebidas en combinación para que tus músculos obtengan la cantidad adecuada de combustible, electrolitos y líquidos que necesitas para esos esfuerzos prolongados y conseguir un mejor rendimiento.</p>
<p>Te recomendamos consumir 1 gel y ½ litro de bebida deportiva Actimax por cada hora de entrenamiento.</p>",Actimax,Geles energéticos,"geles, durante, ciclismo, gym, natacion, running, triatlon",TRUE,Title,Default Title,,shopify,100,deny,manual,150000,,TRUE,TRUE,https://actimax.com.co/wp-content/uploads/2021/12/gel-energetico-actimax-sin-cafeina.png,1,Gel Energético – Caja x 24 sachets sin Cafeína,Gel Energético – Caja x 24 sachets sin Cafeína — Actimax,El Gel Energético – Actimax te garantiza una combinación de nutrientes superior para cubrir tus necesidades de energía e hidratación durante el entrenamiento y/,active
gel-energetico-sachets-x24-sin-cafeina,,,,,,,,,,,,,,,,,,https://actimax.com.co/wp-content/uploads/2021/12/1-gel_energetico_sin_cafeina_30_gr-.jpg,2,Gel Energético – Caja x 24 sachets sin Cafeína,,,
gel-energetico-sachets-x24-sin-cafeina,,,,,,,,,,,,,,,,,,https://actimax.com.co/wp-content/uploads/2021/12/2-gel_energetico_sin_cafeina_30_gr-2.jpg,3,Gel Energético – Caja x 24 sachets sin Cafeína,,,
gel-energetico-sachets-x24-sin-cafeina,,,,,,,,,,,,,,,,,,https://actimax.com.co/wp-content/uploads/2021/12/3-gel_energetico_sin_cafeina_30_gr-3.jpg,4,Gel Energético – Caja x 24 sachets sin Cafeína,,,
gel-energetico-sachets-x24-sin-cafeina,,,,,,,,,,,,,,,,,,https://actimax.com.co/wp-content/uploads/2021/12/gel-energetico-30-g-fresa-banano-sin-cafeina-tabla-nutricional.jpg,5,Gel Energético – Caja x 24 sachets sin Cafeína,,,
energy-pack-actimax-para-triatlon-media-distancia,Energy Pack Actimax para Triatlón Media Distancia,"<p>Cruza la línea de meta con toda la energía, hidratación y recuperación que mereces. Este kit ha sido diseñado por especialistas en nutrición deportiva para tu reto.</p>
<p>El kit incluye:</p>
<ul> <li>1 Sobre de Pre Race</li>
<li>4 Sobres de Bebida Élite</li>
<li>8 Geles de 30 gr</li>
<li>2 Energy Gel</li>
<li>1 Sobre de Recovery Pro</li>
</ul>
<h3>Recomendaciones de uso</h3>
<strong>Te recomendamos usar el Energy Pack de Triatlón Media Distancia de la siguiente manera:</strong> <b>Antes de salir:</b> <ul> <li>Consume la bebida Pre Race en el desayuno para cargar energía en tus músculos.</li>
<li>1 Sobre de Bebida Élite en 500 ml de agua como hidratación antes de la carrera</li>
</ul>
<strong>Para iniciar el calentamiento de natación:</strong> <ul> <li>1 Energy Gel más 80 ml de agua</li>
</ul>
<p><strong>Ciclismo:</strong></p>
<ul> <li>4 Geles energéticos de fruta: después de la primera hora, consume un gel cada 30 minutos más sorbos de agua para una absorción más rápida y efectiva.</li>
<li>2 Sobres de Bebida Élite. Mezcla cada sobre en 500 ml de agua para reponer electrolitos durante el recorrido y mantenerte bien hidratado.</li>
</ul>
<p><strong>Atletismo:</strong></p>
<ul> <li>4 Geles energéticos: te recomendamos consumir uno cada 30 minutos con sorbos de agua</li>
</ul>
<b>Después de la carrera:</b> <ul> <li>1 Sobre de Recovery Pro: consume la bebida en los primeros 30 minutos después de finalizar la carrera para asegurar una recuperación más rápida y efectiva.</li>
<li>1 Sobre de Bebida Élite en 500 ml de agua para rehidratar (después de consumir el Recovery Pro)</li>
</ul>",Actimax,Energy Packs,"kits, natacion, triatlon",TRUE,Title,Default Title,,shopify,100,deny,manual,125000,147000,TRUE,TRUE,https://actimax.com.co/wp-content/uploads/2025/09/Energy-Pack-triatlon-media-distancia-Actimax.webp,1,Energy Pack Actimax para Triatlón Media Distancia,Energy Pack Actimax para Triatlón Media Distancia — Actimax,"Cruza la línea de meta con toda la energía, hidratación y recuperación que mereces. Este kit ha sido diseñado por especialistas en nutrición deportiva para tu r",active
kit-de-nutricion-alto-de-letras,Kit de nutrición Alto de Letras,"<p>Prepárate con el pack que te dará la energía que necesitas para alcanzar cualquier objetivo, mejorar el rendimiento y encontrar tu mejor versión.</p>
<ul> <li>1 Sobre de Pre Race</li>
<li> 6 Sobres de Bebida Deportiva Élite</li>
<li>5 Geles Energéticos de 30 g</li>
<li>3 Energy Gel</li>
<li>1 Sobre de Recovery Pro</li>
</ul>
<h3>Recomendaciones de uso</h3>
<p>¡Asegura una buena hidratación y nutrición para conquistar el Alto de Letras! Este kit ha sido diseñado por especialistas para que logres tu objetivo con toda la energía, hidratación y la mejor recuperación.</p>
<p><strong>El kit consta de:</strong></p>
<ul> <li>1 Sobre de Pre Race</li>
<li> 6 Sobres de Bebida Deportiva Élite</li>
<li>5 Geles Energéticos de 30 g</li>
<li>3 Energy Gel</li>
<li>1 Sobre de Recovery Pro</li>
</ul>
<p>Lee nuestro artículo completo sobre los tips de nutrición que debes tener en cuenta para subir el Alto de Letras ​</p>",Actimax,Energy Packs,"kits, ciclismo",TRUE,Title,Default Title,,shopify,100,deny,manual,120000,144000,TRUE,TRUE,https://actimax.com.co/wp-content/uploads/2025/09/Kit-de-Letras-Actimax-Kit-de-nutricion-ciclismo.webp,1,Kit de nutrición Alto de Letras,Kit de nutrición Alto de Letras — Actimax,"Prepárate con el pack que te dará la energía que necesitas para alcanzar cualquier objetivo, mejorar el rendimiento y encontrar tu mejor versión. 1 Sobre de Pre",active
pre-race-en-tarro-400gr,Bebida Pre Race – Tarro de 500 gr,"<p>PRE RACE – ACTIMAX es una bebida utilizada por los atletas de todas las modalidades deportivas para recargar sus músculos de forma rápida con el mejor combustible ANTES de entrenar o competir.</p>
<h3>Recomendaciones de uso</h3>
<strong>Descripción detallada de la Bebida Pre Race:</strong> <p>Pre Race Actimax está diseñada para ser utilizada hasta 15 minutos antes de entrenar o competir. Pre Race Actimax se prepara muy fácil: agrega 2 y 1/2 cucharadas (36 gr) de Pre Race Actimax a 250 ml de la bebida que prefieras, puede ser agua, leche, yogurt, café, jugo, etc., mézclalos y obtendrás una deliciosa bebida.</p>
<p>Su especial mezcla de nutrientes tiene como objetivo entregar energía inmediata al músculo (carga de glucógeno muscular), mejorar la vasodilatación, dar saciedad y evitar el gasto muscular (catabolismo) aumentando las sensaciones y ganas de entrenar o competir.</p>
<strong>Sabores de Pre Race:</strong> <p>Fresa, vainilla y caramelo.</p>
<strong>Información nutricional de la Bebida Pre Race:</strong> <ul> <li>25 gr de carbohidratos (Maltodextrina y Dextrosa).</li>
<li>6,2 gr de Proteína (con una especial mezcla de proteínas : Whey Protein hidrolizado, proteina aislada Soya y Caseína aislada)</li>
<li>85 mg de Sodio.</li>
<li>475 mg de Calcio.</li>
<li>12 mg de Magnesio.</li>
<li>2,2 mg de Zinc.</li>
<li>1,2 gr de fibra.</li>
<li>22 mg de Vitmina C</li>
<li>Vitaminas del complejo B1, B3, B6, B9, B12.</li>
<li>Preservative free.</li>
</ul>
Preguntas Frecuentes <p>¿Cuántas porciones trae Pre Race?<br> El tarro trae 500 gr y rinde para 13 vasos de 250 ml<br> ¿Qué es Pre Race Actimax?</p>
<p>Pre Race Actimax es un alimento deportivo que contiene nutrientes específicos de rápida absorción y asimilación que tiene como objetivo entregar energía de forma rápida para aumentar las reservas energéticas de los músculos antes de iniciar una actividad deportiva.</p>
<p>¿Cuándo debo usar Pre Race Actimax?</p>
<p>Se recomienda utilizar Pre Race Actimax 30 minutos antes de iniciar una actividad deportiva. Es ideal para esos entrenamientos en las madrugadas en donde es complicado ingerir alimentos sólidos o cuando terminamos nuestra jornada laboral y salimos directamente a nuestro sitio de entrenamiento.</p>
<p>¿Cómo se prepara Pre Race Actimax?</p>
<p>Prepararlo muy fácil, agregar una porción (3 cucharas o un sobre de pre Race Actimax) en agua o en tu bebida preferida: leche, yogurt, jugo, avena o café, mezclar adecuadamente y en cuestión de segundos tendrás lista una bebida pre entrenamiento que te aporta energía inmediata aumentando las sensaciones y ganas de entrenar.</p>
<p>¿Pre Race Actimax contiene cafeína?</p>
<p>No, pero si quieres tener esa chispa adicional de alerta y concentración que aporta la cafeína te recomendamos mezclar pre Race Actimax en una deliciosa taza de café caliente.</p>
<p>¿Los niños pueden consumir Ore Race Actimax?</p>
<p>Todos los deportistas de cualquier edad y sexo que realicen una actividad física que requiera repletar las reservas de energía en el músculo antes de iniciar la actividad física pueden usar Pre Race Actimax con seguridad.</p>
<p>¿Si tomo Pre Race Actimax antes de entrenar lo puedo mezclar con otro alimento?</p>
<p>Claro que sí, lo puedes mezclar en tus cereales preferidos, con frutas, con galletas, con un pan, etc.</p>
<p>¿Pre Race Actimax puede reemplazar el desayuno, almuerzo o comida?</p>
<p>Pre Race Actimax no debe reemplaza ninguna de tus comidas principales, Pre Race Actimax es un alimento deportivo ideal antes para usar antes de entrenar que aporta nutrientes muy específicos que son utilizados por el cuerpo durante la actividad física y te ayudarán a obtener la energía que tu cuerpo necesita para iniciar la actividad física. te recomendamos consumir normalmente tus comidas principales y consumir Pre Race Actimax solo antes de iniciar la actividad física.</p>
<p>¿Qué pasa si tomo Pre Race pero no realizo la actividad física?</p>
<p>Pre Race aporta energía que es utilizada por el cuerpo en los diferentes órganos (cerbero, sistema respiratorio, sistema circulatorio, etc) y también ese combustible se utiliza en los músculos.<br> En todo momento (reposo o actividad) todos esos órganos y músculos necesitan combustible. Ósea que si no haces actividad física el combustible de Pre race se usará para mantener todo tu cuerpo funcionando con la mejor energía</p>",Actimax,Bebidas deportivas,"bebidas, antes, ciclismo, futbol, gym, natacion, running, triatlon",TRUE,Title,Default Title,,shopify,100,deny,manual,102000,,TRUE,TRUE,https://actimax.com.co/wp-content/uploads/2021/11/Pre-Race-en-Tarro-400gr.png,1,Bebida Pre Race – Tarro de 500 gr,Bebida Pre Race – Tarro de 500 gr — Actimax,PRE RACE – ACTIMAX es una bebida utilizada por los atletas de todas las modalidades deportivas para recargar sus músculos de forma rápida con el mejor combustib,active
pre-race-en-tarro-400gr,,,,,,,,,,,,,,,,,,https://actimax.com.co/wp-content/uploads/2021/11/1-pre_race_actimax_tarro_.jpg,2,Bebida Pre Race – Tarro de 500 gr,,,
pre-race-en-tarro-400gr,,,,,,,,,,,,,,,,,,https://actimax.com.co/wp-content/uploads/2023/09/Pre-Race.jpg,3,Bebida Pre Race – Tarro de 500 gr,,,
